klucz,short_name,nationality,club_name,league_name,position
00000794,. Radu,Romania,Lazio,Italian Serie A,LCB
00008660,. Vladoiu,Romania,Universitatea Craiova,Romanian Liga I,RB
00017682,A. Abdugheni,China PR,Jiangsu Suning FC,Chinese Super League,RWB
00002703,A. Abedzadeh,Iran,Clube Sport Marítimo,Portuguese Liga ZON SAGRES,GK
00008651,A. Abeid,Mauritania,Valenciennes FC,French Ligue 2,LWB
00014621,A. Ablet,China PR,Henan Jianye FC,Chinese Super League,LWB
00009298,A. Acosta,Mexico,FC Juárez,Mexican Liga MX,RB
00003611,A. Acquah,Ghana,Yeni Malatyaspor,Turkish Süper Lig,LDM
00001475,A. Ademi,North Macedonia,Dinamo Zagreb,Croatian Prva HNL,RCM
00001756,A. Adnan,Iraq,Vancouver Whitecaps FC,USA Major League Soccer,LWB
00012945,A. Aganovic,Croatia,Sepsi OSK,Romanian Liga I,RCM
00002237,A. Aguerre,Argentina,Newell's Old Boys,Argentina Primera División,GK
00004845,A. Ahamada,Comoros,SK Brann,Norwegian Eliteserien,GK
00005442,A. Ahmedhodzic,Bosnia Herzegovina,Malmö FF,Swedish Allsvenskan,RCB
00013520,A. Ajeti,Albania,Vejle Boldklub,Danish Superliga,LCB
00015066,A. Al Asmari,Saudi Arabia,Al Ahli,Saudi Abdul L. Jameel League,RDM
00011714,A. Al Barakah,Saudi Arabia,Al Fayha,Saudi Abdul L. Jameel League,CAM
00007244,A. Al Bulayhi,Saudi Arabia,Al Hilal,Saudi Abdul L. Jameel League,LCB
00012512,A. Al Fahad,Saudi Arabia,Al Raed,Saudi Abdul L. Jameel League,RCB
00016457,A. Al Hassan,Saudi Arabia,Al Fateh,Saudi Abdul L. Jameel League,LCM
00017967,A. Al Hassan,Saudi Arabia,Al Faisaly,Saudi Abdul L. Jameel League,RB
00017368,A. Al Jamaan,Saudi Arabia,Abha Club,Saudi Abdul L. Jameel League,LM
00008639,A. Al Khaibari,Saudi Arabia,Al Nassr,Saudi Abdul L. Jameel League,LDM
00010061,A. Al Malki,Saudi Arabia,Al Ittihad,Saudi Abdul L. Jameel League,RCM
00005226,A. Al Mayoof,Saudi Arabia,Al Hilal,Saudi Abdul L. Jameel League,GK
00012173,A. Al Najjar,Saudi Arabia,Abha Club,Saudi Abdul L. Jameel League,RM
00014640,A. Al Nashi,Saudi Arabia,Al Hazem,Saudi Abdul L. Jameel League,LCM
00013582,A. Al Obud,Saudi Arabia,Al Ittihad,Saudi Abdul L. Jameel League,RW
00011478,A. Al Salem,Saudi Arabia,Ettifaq FC,Saudi Abdul L. Jameel League,ST
00010274,A. Al Shamekh,Saudi Arabia,Al Shabab,Saudi Abdul L. Jameel League,LB
00013560,A. Al Shammari,Saudi Arabia,Al Hazem,Saudi Abdul L. Jameel League,CB
00014600,A. Al Yousef,Saudi Arabia,Al Adalah,Saudi Abdul L. Jameel League,LB
00012847,A. Al Zain,Saudi Arabia,Al Raed,Saudi Abdul L. Jameel League,LM
00010927,A. Albanese,Belgium,Waasland-Beveren,Belgian Jupiler Pro League,RM
00008370,A. Albers,Denmark,SSV Jahn Regensburg,German 2. Bundesliga,RS
00008988,A. Albu,Romania,UTA Arad,Romanian Liga I,LCM
00003424,A. Alcaraz,Paraguay,Olimpia Asunción,Paraguayan Primera División,LCB
00002781,A. Aldrete,Mexico,Cruz Azul,Mexican Liga MX,LB
00010164,A. Ale,Uruguay,Delfín SC,Ecuadorian Serie A,LCB
00007531,A. Alvarado,Ecuador,SD Aucas,Ecuadorian Serie A,LM
00015696,A. Alvarez Martinez,Uruguay,Penarol,Uruguayan Primera División,RS
00010075,A. Anastasio,Italy,AC Monza,Italian Serie B,LB
00018218,A. Anderson,Australia,Melbourne Victory,Australian Hyundai A-League,LCB
00008687,A. Andersson,Sweden,BK Häcken,Swedish Allsvenskan,LB
00005251,A. Andrade,Colombia,Atlético Nacional,Colombian Liga Postobón,LM
00009697,A. Antilef,Argentina,Arsenal de Sarandí,Argentina Primera División,CAM
00007642,A. Araque,Venezuela,Estudiantes de Mérida,Venezuelan Primera División,GK
00010808,A. Aremu,Nigeria,FC St. Pauli,German 2. Bundesliga,RCM
00007256,A. Argacha,Uruguay,Centro Atlético Fénix,Uruguayan Primera División,LM
00012280,A. Arias,Peru,Melgar FBC,Peruvian Primera División,RCM
00002522,A. Armstrong,England,Blackburn Rovers,English League Championship,ST
00009455,A. Arregui,Argentina,Club Atlético Huracán,Argentina Primera División,RCM
00007960,A. Artean,Romania,FC Viitorul,Romanian Liga I,CM
00010541,A. Asiri,Saudi Arabia,Al Taawoun,Saudi Abdul L. Jameel League,RCB
00009032,A. Atouchi,Morocco,Abha Club,Saudi Abdul L. Jameel League,LCB
00016885,A. Attiah,Saudi Arabia,Al Wehda,Saudi Abdul L. Jameel League,GK
00009222,A. Auassar,Netherlands,Sparta Rotterdam,Holland Eredivisie,CDM
00001367,A. Ayew,Ghana,Swansea City,English League Championship,RS
00007426,A. Bah,Denmark,SonderjyskE,Danish Superliga,RM
00003367,A. Bakasetas,Greece,Alanyaspor,Turkish Süper Lig,CAM
00013949,A. Balanta,Colombia,Deportivo Cali,Colombian Liga Postobón,RDM
00002902,A. Bamba,Ivory Coast,Angers SCO,French Ligue 1,RB
00009746,A. Bamba,Ivory Coast,Paris FC,French Ligue 2,RCB
00012669,A. Baptiste,England,Bolton Wanderers,English League Two,CB
00002607,A. Barboza,Argentina,Independiente,Argentina Primera División,LCB
00004503,A. Bareiro,Paraguay,Club Libertad,Paraguayan Primera División,LM
00006565,A. Bareiro,Paraguay,Alanyaspor,Turkish Süper Lig,ST
00004197,A. Barilla,Italy,AC Monza,Italian Serie B,CM
00006717,A. Barman,United Arab Emirates,Al Ain FC,UAE Arabian Gulf League,LDM
00001068,A. Barnes,England,Burnley,English Premier League,LS
00010071,A. Barylla,Germany,1. FC Saarbrücken,German 3. Bundesliga,RB
00006461,A. Bassi,Morocco,AS Nancy Lorraine,French Ligue 2,CAM
00015524,A. Bates,England,Walsall,English League Two,LDM
00009847,A. Batisse,France,Pau FC,French Ligue 2,RCB
00005949,A. Baumjohann,Germany,Sydney FC,Australian Hyundai A-League,RAM
00002863,A. Bedoya,United States,Philadelphia Union,USA Major League Soccer,RCM
00005736,A. Bell,England,Blackburn Rovers,English League Championship,LB
00009839,A. Belmonte,France,Grenoble Foot 38,French Ligue 2,LDM
00000402,A. Belotti,Italy,Torino,Italian Serie A,LS
00013845,A. Benga,Romania,UTA Arad,Romanian Liga I,RCB
00004533,A. Bernabei,Argentina,Club Atlético Lanús,Argentina Primera División,LB
00003855,A. Bernede,France,FC Red Bull Salzburg,Austrian Football Bundesliga,RDM
00010260,A. Berzel,Germany,Türkgücü München,German 3. Bundesliga,LCB
00004232,A. Bjelland,Denmark,FC Kobenhavn,Danish Superliga,LCB
00008842,A. Bjornstrom,Sweden,IK Sirius,Swedish Allsvenskan,LB
00001716,A. Blake,Jamaica,Philadelphia Union,USA Major League Soccer,GK
00008422,A. Blanco,Argentina,Caracas FC,Venezuelan Primera División,ST
00002633,A. Blin,France,Amiens SC,French Ligue 2,LDM
00003964,A. Bobichon,France,Angers SCO,French Ligue 1,RCM
