klucz,age,height_cm,weight_kg,value_eur,overall
00000794,33,183,79,4900000,78
00008660,21,178,72,850000,66
00017682,22,185,75,120000,55
00002703,27,186,80,3400000,73
00008651,22,174,73,850000,66
00014621,33,178,68,110000,61
00009298,32,174,75,400000,66
00003611,28,179,70,3100000,72
00001475,29,185,79,6500000,76
00001756,26,185,70,7000000,75
00012945,32,180,76,275000,63
00002237,29,181,80,4600000,74
00004845,28,189,83,1500000,70
00005442,21,192,84,1700000,69
00013520,26,184,83,350000,62
00015066,23,185,74,325000,60
00011714,29,175,69,375000,64
00007244,30,182,80,725000,68
00012512,26,176,73,400000,63
00016457,24,182,68,180000,58
00017967,21,172,68,110000,54
00017368,23,176,69,130000,56
00008639,23,175,66,875000,66
00010061,25,176,69,675000,65
00005226,33,189,83,950000,70
00012173,23,175,68,575000,63
00014640,32,176,73,160000,61
00013582,25,174,70,375000,62
00011478,27,184,74,525000,64
00010274,27,178,71,525000,65
00013560,26,186,74,325000,62
00014600,30,176,67,200000,61
00012847,28,182,65,375000,63
00010927,20,174,70,775000,64
00008370,30,193,90,725000,67
00008988,26,188,70,725000,66
00003424,37,187,78,625000,72
00002781,32,177,75,2500000,73
00010164,25,195,86,600000,65
00007531,21,165,60,1100000,67
00015696,19,180,75,275000,59
00010075,23,180,73,625000,65
00018218,19,187,75,90000,53
00008687,23,178,68,800000,66
00005251,31,177,71,1600000,70
00009697,21,170,65,875000,65
00007642,24,180,80,800000,67
00010808,20,181,77,925000,64
00007256,33,179,75,400000,68
00012280,24,164,64,500000,63
00002522,23,168,69,6000000,73
00009455,27,175,74,650000,66
00007960,26,186,81,800000,67
00010541,28,177,70,475000,65
00009032,28,186,78,650000,66
00016885,23,190,76,130000,57
00009222,33,186,80,325000,66
00001367,30,176,72,7500000,76
00007426,22,183,76,1200000,67
00003367,27,181,78,3600000,72
00013949,20,178,72,525000,61
00002902,30,182,72,3200000,73
00009746,20,185,87,775000,65
00012669,34,180,74,140000,63
00002607,25,192,88,4800000,73
00004503,31,167,68,2100000,71
00006565,23,184,84,1300000,68
00004197,32,180,78,1800000,71
00006717,26,175,70,1000000,68
00001068,30,186,84,8500000,77
00010071,23,180,84,625000,65
00006461,22,173,65,1400000,68
00015524,19,173,64,325000,59
00009847,25,186,87,675000,65
00005949,33,178,75,650000,69
00002863,33,178,73,2300000,73
00005736,26,180,77,1100000,69
00009839,24,185,72,700000,65
00000402,26,181,72,18500000,80
00013845,31,188,83,230000,62
00004533,19,169,65,3000000,70
00003855,21,177,74,3600000,71
00010260,28,184,84,525000,65
00004232,31,188,85,1800000,71
00008842,24,176,65,750000,66
00001716,29,193,79,5500000,75
00008422,32,187,85,600000,67
00002633,23,184,78,4700000,73
